gene_id	ranks
ENSG00000100324	3.53423712463381
ENSG00000138449	3.5334904051268
ENSG00000115286	3.52998936064717
ENSG00000205578	3.52907487467033
ENSG00000116690	3.52340509139846
ENSG00000143013	3.52006543356555
ENSG00000145147	3.51767201385175
ENSG00000197442	3.51475713980839
ENSG00000167772	3.5028761508608
ENSG00000125656	3.5002562363735
ENSG00000133247	3.49204309535552
ENSG00000082014	3.49160965949649
ENSG00000236279	3.4883577212088
ENSG00000122877	3.48413746135986
ENSG00000205581	3.48322203669178
ENSG00000170891	3.48074906590964
ENSG00000155016	3.4804119288071
ENSG00000273238	3.47952108023858
ENSG00000173917	3.47821452079246
ENSG00000174939	3.47651793801981
ENSG00000140995	3.47450019895516
ENSG00000174365	3.47282181488331
ENSG00000205832	3.47179229210103
ENSG00000126602	3.46915342625905
ENSG00000187840	3.46699914227043
